#lon lat ve vn vu se sn su name
175.64131 -39.09440 1.50553 -3.56256 -3.10200 0.23407 0.15652 0.39115 vgkr
174.91700 -41.23510 -23.36856 -7.24148 -3.31510 0.77948 0.73692 0.85502 grac
176.20160 -40.90980 -27.69455 -10.39055 -4.05650 0.27882 0.25572 0.37052 cast
132.89406 -12.65917 -0.40328 0.36627 -2.18334 0.15704 0.39814 1.50370 jab2
105.68850 -10.44996 0.13274 0.63428 -0.09589 0.28768 0.17491 0.26602 xmis
128.29617 -25.03720 0.04253 0.17469 -0.71810 0.25819 0.14822 0.20017 wara
164.46992 -20.83628 0.15243 -0.61154 -0.58848 0.49457 0.24156 0.32541 uaco
166.21689 -22.01152 -0.02967 0.36283 -1.65699 0.21578 0.21799 0.41349 ttta
210.52446 -23.34180 -74.29715 27.39404 -1.38689 0.27543 0.32439 0.27241 tbtg
142.05742 -29.45016 0.08496 0.17488 -0.74594 0.23932 0.28984 0.38079 tbob
147.93085 -42.54644 0.06352 -0.32268 -1.36102 0.18155 0.15010 0.41475 spby
130.89153 -12.42430 -0.50487 0.86705 -0.41688 0.35761 0.47322 0.89573 sa39
141.61347 -38.34439 0.37146 -0.58554 -0.57655 0.49237 0.19277 0.44050 ptld
164.02378 -20.23165 0.59656 1.12413 -1.53797 0.70129 0.41086 0.66901 poum
165.35132 -20.93788 -0.09039 0.67211 -0.83881 0.54415 0.55626 0.48863 pdme
166.44252 -22.26479 -0.29269 -0.01460 -1.79164 0.18491 0.23049 0.61047 nmea
169.98450 -43.72658 -19.62576 -8.73664 3.64398 0.56066 0.37093 0.84938 mcke
165.37548 -21.48034 -0.29700 0.10487 -1.10056 0.29346 0.23030 0.39475 lcap
142.29621 -10.59037 -0.23256 0.49455 0.11528 0.18077 0.30005 0.57811 hnis
115.73858 -31.82552 -0.14669 -0.58145 -2.05841 0.18209 0.12313 0.76054 hil1
225.03518 -23.13036 -77.91829 40.40340 -0.85343 0.23199 0.39195 0.34227 gamb
181.87906 -14.30780 -84.05846 -0.29524 -1.13956 0.41519 1.79495 0.38058 ftna
121.89433 -33.87432 -0.06515 -0.34633 -1.06724 0.18742 0.10846 0.30667 espa
130.95593 -12.44331 -0.62380 0.35715 -0.36928 0.20619 0.32165 0.58823 dwni
153.26654 -27.52615 0.12038 0.00691 -1.17827 0.12378 0.15460 0.49554 clev
122.20909 -18.00397 -0.15897 0.36151 -1.15211 0.36022 0.14921 0.63970 bro1
189.27756 -14.32609 -86.20677 6.47971 -2.55698 0.82007 0.54774 2.34627 aspa
117.81019 -34.95023 -0.13372 -0.19019 -0.76380 0.16184 0.21849 0.50534 alby
130.88173 -12.35592 0.08404 0.84278 -1.24517 0.18156 0.17233 0.63220 02na
130.98205 -12.47822 -0.02977 0.43544 -2.10957 0.15716 0.16337 0.75188 01na
130.84399 -12.46664 0.08877 -0.20951 -0.47424 0.20157 0.24459 0.77299 00na
176.12378 -37.88920 1.71151 -2.03329 0.72889 1.04708 0.77857 2.02410 eaxx
176.08130 -38.15288 1.55557 -2.63630 0.58872 0.37540 0.28797 0.84467 cbwu
175.87752 -37.89432 0.77955 -1.26803 0.28078 0.40771 0.34116 0.92524 b4dp
176.03008 -38.38749 3.02555 -4.79322 0.05608 1.16435 1.12357 1.72750 ah9j
176.01788 -38.35959 1.92296 -3.55569 -1.05358 1.02181 1.05702 1.76277 a87p
176.07308 -38.04782 1.39583 -2.13740 0.83987 0.27973 0.46662 0.50194 2383
175.86541 -38.21110 0.69197 -2.34778 0.70099 0.53260 0.50597 0.74185 2382
175.99500 -38.69200 2.56878 -2.43510 -3.09087 1.31000 1.44000 1.30827 2406
176.38256 -40.26498 -15.83999 -11.49345 -1.34507 1.39563 0.19998 0.67049 turi
172.96049 -41.03368 -2.52308 -0.43707 -2.14150 0.26385 0.20870 0.25490 tkhl
169.68411 -45.03834 -29.75912 -13.61477 -0.79088 0.31486 0.26442 0.69466 ldrz
170.12120 -46.14650 -28.64122 -10.63627 NaN 1.02802 0.56825 NaN ecfh
170.08120 -46.20190 -26.92681 -10.87272 NaN 1.36834 1.47318 NaN ecfg
169.32070 -45.47390 -28.31954 -12.04798 NaN 1.12080 0.66892 NaN e2k6
169.00359 -43.86082 -6.95000 -0.75854 NaN 0.46000 0.46000 NaN 6731
172.78775 -42.39825 -17.24865 -5.47383 0.35946 0.33671 0.29492 0.42774 3608
172.82430 -43.07790 -30.89000 -9.94760 -0.28934 0.58000 0.61000 0.47012 1144
169.25068 -44.19470 -21.57000 -10.02894 NaN 0.62000 0.81000 NaN aady
151.23187 -33.91776 0.03808 0.07254 -1.32440 0.38082 0.23311 1.71390 unx3
137.69581 -34.93885 -0.12961 0.43436 -0.30340 0.64505 0.57937 1.03400 ytwn
119.64580 -31.29069 -0.49253 -0.22024 -1.32511 0.45078 0.17426 0.48300 yelo
135.78438 -34.14415 0.04052 -0.30402 -1.35327 0.36882 0.28043 0.46600 yeel
166.94437 -22.15955 -0.06457 -0.54295 -2.08797 1.16391 0.46846 1.46400 yate
147.32168 -33.70342 0.21107 -0.22104 -2.07964 0.27940 0.43778 0.59100 wwlg
147.37026 -35.10840 0.13246 -0.40310 -1.27743 0.17783 0.32074 0.59176 wwcc
134.35453 -19.93336 -0.24019 0.68397 -1.30036 0.63093 0.30553 0.47600 wmga
138.35597 -34.26130 -2.25079 0.32547 -4.56044 0.83746 0.77486 1.63500 wldh
120.21837 -26.62568 -0.04706 0.01035 -1.00703 0.29682 0.26547 0.46000 wilu
149.96480 -16.28744 -1.16860 0.73609 -1.95334 0.78559 0.55743 1.07900 wili
117.50064 -32.78176 -0.43094 0.28526 -2.24330 0.85776 0.39809 1.18400 wick
117.35208 -33.30605 -0.60915 0.07415 -2.75506 0.45874 0.42293 1.71700 wgn1
174.77871 -41.27265 -21.62008 -6.19799 -1.21103 0.29591 0.58954 0.75700 wel1
